Level,Name,Parts,Wraps,West,South,East,North,AreaKm2,Part1Area,Part1West,Part1South,Part1East,Part1North,Part2Area,Part2West,Part2South,Part2East,Part2North,Part3Area,Part3West,Part3South,Part3East,Part3North,Part4Area,Part4West,Part4South,Part4East,Part4North,Part5Area,Part5West,Part5South,Part5East,Part5North
Physical Range/mtn,Serra do Espinhaço,1,false,-49.645,-19.896,-47.21,-12.91,100457.0,100457.0,-49.645,-19.896,-47.21,-12.91,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra do Mar,2,false,-50.28,-29.894,-47.728,-24.55,59978.4,59880.5,-50.28,-29.894,-47.728,-24.55,97.8741,-48.666,-26.414,-48.556,-26.186,,,,,,,,,,,,,,,
Physical Range/mtn,Shackleton Range,1,false,-30.455,-81.246,-18.295,-79.931,22720.7,22720.7,-30.455,-81.246,-18.295,-79.931,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Sierra Chiapas,1,false,-94.757,14.962,-90.919,17.751,80942.1,80942.1,-94.757,14.962,-90.919,17.751,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Sierra Madre del Sur,1,false,-105.595,15.688,-95.075,20.973,291670.0,291670.0,-105.595,15.688,-95.075,20.973,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Sierra Morena,1,false,-7.211,37.36,-2.493,38.837,29417.7,29417.7,-7.211,37.36,-2.493,38.837,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Siwalik Hills,1,false,79.061,26.365,87.706,29.964,67156.4,67156.4,79.061,26.365,87.706,29.964,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Southern Ghats,1,false,76.344,8.273,78.601,10.726,35965.0,35965.0,76.344,8.273,78.601,10.726,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Sudetes Mts.,1,false,14.193,49.901,17.494,51.304,12389.5,12389.5,14.193,49.901,17.494,51.304,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Sulaiman Ra.,1,false,68.925,29.077,70.641,33.731,55083.2,55083.2,68.925,29.077,70.641,33.731,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Suntar-Khayata Range,1,false,139.48,60.98,145.191,63.126,34216.3,34216.3,139.48,60.98,145.191,63.126,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,TIAN SHAN,2,false,72.977,39.66,95.222,44.175,414996.0,414987.0,72.977,39.66,95.222,44.175,8.43269,74.391,42.683,74.735,42.706,,,,,,,,,,,,,,,
Physical Range/mtn,TIBESTI MTS.,1,false,15.681,19.492,19.862,24.088,123320.0,123320.0,15.681,19.492,19.862,24.088,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,TORNGAT MTS.,3,false,-64.865,58.478,-62.915,60.488,10090.5,9414.81,-64.816,58.478,-62.915,60.065,451.392,-64.865,60.028,-64.419,60.337,224.321,-64.824,60.298,-64.444,60.488,,,,,,,,,,
